id,object_id,degree_type,subject,institution,graduated_at,created_at,updated_at
69,p:6860,BA,Economics,Harvard University,,3/4/2008 18:10,3/4/2008 18:10
70,p:6860,MBA,,Harvard Business School,,3/4/2008 18:10,3/4/2008 18:10
71,p:6893,BS,Business Administration,University of Southern California (USC),1/1/2000,3/4/2008 19:52,3/4/2008 19:52
72,p:6934,BS,English Lit,Whittier College,1/1/2005,3/4/2008 23:23,3/4/2008 23:23
73,p:3026,BS,Mathematics,Bates College,,3/4/2008 23:39,3/4/2008 23:39
74,p:3027,PhD,Theoretical Physics,University of Moscow,,3/4/2008 23:40,3/4/2008 23:40
75,p:3457,BS,Industrial Engineering & Engineering Management,Stanford University,1/1/1993,3/5/2008 0:22,7/11/2013 2:34
76,p:3457,MBA,Business,Harvard Business School,1/1/1998,3/5/2008 0:22,7/11/2013 2:34
77,p:1238,BA,History / Political Science,"University of California, Los Angeles (UCLA)",1/1/2005,3/5/2008 0:38,3/5/2008 0:38
78,p:6944,BA,"History, French, Political Science",Middlebury College,1/1/1986,3/5/2008 18:18,7/18/2013 9:59
79,p:2223,BS,Computer Science + Business Management,"University of Maryland, CP",1/1/2003,3/6/2008 21:52,3/6/2008 21:52
80,p:3502,BA,Computer Science,Open University,,3/6/2008 22:50,3/6/2008 22:50
81,p:5927,BA,Computer Science,UCSD,1/1/1996,3/6/2008 22:58,3/6/2008 22:58
82,p:5927,MS,Computer Science,UCSD,1/1/1998,3/6/2008 22:59,3/6/2008 22:59
83,p:4304,BA,Computer Science,"University of California, Berkeley",1/1/1985,3/7/2008 2:37,3/7/2008 2:37
84,p:3770,BA,"math, physics",University of Chicago,1/1/2005,3/7/2008 14:33,3/7/2008 14:39
85,p:7042,MBA,,Harvard Business School,,3/7/2008 20:06,3/7/2008 20:06
86,p:7042,BA,International Business and Political Science,Ohio Wesleyan University,,3/7/2008 20:06,3/7/2008 20:06
87,p:7061,BA,environmental policy and communications,"University Of Massachusetts, Amherst",1/1/1975,3/8/2008 15:39,3/8/2008 15:39
88,p:7063,MBA,,Harvard University,1/1/1997,3/8/2008 18:59,12/25/2009 6:04
89,p:7063,BA,Business Administration,University of Western Ontario,1/1/1992,3/8/2008 18:59,12/25/2009 6:04
90,p:7080,MS,MBA,Harvard University,1/1/1986,3/8/2008 22:10,3/8/2008 22:10
91,p:7080,MS,Aerospace Engineering,Stanford University,1/1/1982,3/8/2008 22:10,3/8/2008 22:10
92,p:7080,BA,EE,UCSD,1/1/1979,3/8/2008 22:10,3/8/2008 22:10
93,p:6060,BA,"International Relations, Business & Economics",Boston University,1/1/1990,3/9/2008 22:22,5/31/2013 6:56
