id,funding_round_id,object_id,funded_at,funding_round_type,funding_round_code,raised_amount_usd,raised_amount,raised_currency_code,pre_money_valuation_usd,pre_money_valuation,pre_money_currency_code,post_money_valuation_usd,post_money_valuation,post_money_currency_code,participants,is_first_round,is_last_round,source_url,source_description,created_by,created_at,updated_at
71,71,c:91,1/1/2007,series-a,a,4250000,4250000,USD,0,0,,0,0,,3,0,0,http://www.businesswire.com/portal/site/google/?ndmViewId=news_view&newsId=20080625005393&newsLang=en,press release,initial-importer,6/28/2007 9:30,6/25/2008 17:10
72,72,c:93,4/1/2007,series-a,a,3100000,3100000,USD,0,0,USD,0,0,USD,3,1,0,http://sev.prnewswire.com/computer-electronics/20070424/SFTU04824042007-1.html,,initial-importer,2/5/2008 22:44,5/16/2008 4:12
73,73,c:85,10/1/2006,series-a,a,5000000,5000000,USD,0,0,,0,0,,1,0,1,,,initial-importer,6/29/2007 14:02,3/19/2008 9:08
74,74,c:85,6/1/2007,series-b,b,10000000,10000000,USD,0,0,,0,0,,1,0,0,http://www.techcrunch.com/2007/06/26/sugar-publishing-raises-new-round-partners-with-nbc-universal/,,initial-importer,6/29/2007 14:25,6/1/2009 22:28
75,75,c:63,11/1/2005,series-a,a,3500000,3500000,USD,0,0,,0,0,,1,0,1,http://www.marketwire.com/2.0/release.do?id=736129&sourceType=1,,initial-importer,6/30/2007 22:15,2/25/2008 0:24
76,76,c:63,4/1/2006,series-b,b,8000000,8000000,USD,0,0,,0,0,,1,1,0,http://news.com.com/8301-10784_3-6057968-7.html,,initial-importer,6/30/2007 22:16,2/25/2008 0:24
77,77,c:7299,3/1/2005,series-a,a,3000000,3000000,USD,0,0,,0,0,,1,0,1,http://press.photobucket.com/blog/2006/05/index.html,,initial-importer,6/30/2007 22:42,4/16/2008 17:09
78,78,c:60,5/1/2007,series-c+,c,20000000,20000000,USD,0,0,,0,0,,2,0,0,http://www.techcrunch.com/2007/05/09/jajah-lands-20-million-series-c-funding-from-intel/,,initial-importer,7/2/2007 19:58,5/26/2008 1:16
79,79,c:62,3/1/2004,series-b,b,18800000,18800000,USD,0,0,USD,0,0,USD,2,0,0,http://www.prnewswire.co.uk/cgi/news/release?id=119130,,initial-importer,7/3/2007 5:28,12/11/2013 13:03
80,80,c:73,2/1/2006,series-a,a,6000000,6000000,USD,0,0,,0,0,,1,1,1,http://www.beyondvc.com/2006/02/why_we_invested.html,,initial-importer,7/3/2007 6:11,2/25/2008 0:24
81,81,c:96,2/27/2007,series-b,b,7000000,7000000,USD,0,0,,0,0,,4,0,0,http://www.iskoot.com/pressreleases/prnetwork_02.21.07.php,iskoot press release,initial-importer,7/3/2007 6:48,5/14/2008 17:52
82,82,c:96,11/29/2006,series-a,a,6200000,6200000,USD,0,0,,0,0,,3,0,1,http://www.iskoot.com/pressreleases/prnetwork_02.21.07.php,iskoot press release,initial-importer,7/3/2007 6:50,5/14/2008 17:52
83,83,c:97,4/25/2007,series-b,b,9000000,9000000,USD,0,0,,0,0,,3,1,0,http://www.techcrunch.com/2007/04/25/eqo-gets-9-million-series-b/,EQO Gets $9 Million Series B,initial-importer,7/3/2007 7:36,10/29/2008 20:14
84,84,c:97,4/25/2007,series-a,a,3500000,3500000,USD,0,0,,0,0,,2,1,0,http://www.techcrunch.com/2007/04/25/eqo-gets-9-million-series-b/,EQO Gets $9 Million Series B,initial-importer,7/3/2007 7:37,10/21/2009 17:21
85,85,c:4,10/1/2005,series-a,a,2800000,2800000,USD,0,0,,0,0,,8,0,1,http://goliath.ecnext.com/coms2/gi_0199-4857782/Social-Content-Web-Site-Digg.html,,initial-importer,7/4/2007 4:56,2/27/2008 23:14
86,86,c:25732,5/24/2007,series-b,b,6000000,6000000,USD,0,0,USD,0,0,USD,3,0,1,http://www.prnewswire.com/news-releases/buzznet-lands-6-million-round-of-financing-led-by-redpoint-ventures-and-anthem-venture-partners-58564567.html,"Buzznet Lands $6 Million Round of Financing Led By Redpoint Ventures and Anthem Venture Partners	",initial-importer,7/5/2007 5:29,8/21/2013 19:47
87,87,c:103,4/1/2007,series-a,a,0,0,,0,0,,0,0,,2,0,1,http://pulse2.com/2007/04/17/recent-tech-funding-adify-funny-or-die-5min-and-yardbarker/,,initial-importer,7/6/2007 6:21,6/17/2008 17:40
88,88,c:105,5/1/2006,series-b,b,3000000,3000000,USD,0,0,,0,0,,2,1,0,http://startupsearch.org/company/sphere/,,initial-importer,7/6/2007 11:15,4/15/2008 4:02
89,89,c:105,4/1/2005,series-a,a,500000,500000,USD,0,0,,0,0,,9,0,1,http://startupsearch.org/company/sphere/,,initial-importer,7/6/2007 11:18,4/10/2008 0:35
90,90,c:107,2/1/2006,series-b,b,6500000,6500000,USD,0,0,,0,0,,4,0,0,http://findarticles.com/p/articles/mi_m0EIN/is_2006_Feb_27/ai_n16085490,,initial-importer,7/7/2007 8:06,6/19/2008 0:32
91,91,c:107,8/1/2006,series-c+,c,8000000,8000000,USD,0,0,,0,0,,1,0,0,http://www.econtentmag.com/Articles/ArticleReader.aspx?ArticleID=17395,,initial-importer,7/7/2007 8:07,6/19/2008 0:32
92,92,c:106,6/29/2007,series-a,a,5350000,5350000,USD,0,0,USD,0,0,USD,2,0,0,http://www.ryanallis.com/blog/archives/000227.html,,initial-importer,7/7/2007 8:39,10/14/2013 23:26
93,93,c:109,5/8/2007,series-a,a,1200000,1200000,USD,0,0,USD,0,0,USD,3,0,0,http://www.readwriteweb.com/archives/mashery_funding.php,,initial-importer,2/5/2008 22:44,4/18/2013 15:56
94,94,c:112,7/1/2007,series-a,a,4000000,4000000,USD,0,0,,0,0,,1,1,1,http://techcrunch.com/2007/07/09/zlio-secures-4-million-in-series-a-funding/,Zlio Secures $4 million In Series A Funding,initial-importer,7/10/2007 6:10,3/6/2010 0:31
95,95,c:113,10/1/2006,series-c+,c,10000000,10000000,USD,0,0,USD,0,0,USD,1,0,0,http://venturebeat.com/2006/10/04/local-review-site-yelp-raises-10-million-from-benchmark/,,initial-importer,7/10/2007 6:24,7/11/2013 9:19
96,96,c:113,10/1/2005,series-b,b,5000000,5000000,USD,0,0,USD,0,0,USD,1,0,0,,,initial-importer,7/10/2007 6:26,7/11/2013 9:19
97,97,c:47,7/1/2007,series-c+,c,44000000,44000000,USD,0,0,,0,0,,1,0,0,http://www.techcrunch.com/2007/07/09/big-big-round-of-funding-for-ning/,,initial-importer,7/10/2007 13:49,4/18/2008 23:44
99,99,c:47,1/1/2007,series-a,a,0,0,,0,0,,0,0,,3,0,1,http://www.techcrunch.com/2007/07/09/big-big-round-of-funding-for-ning/,,initial-importer,7/10/2007 19:58,3/26/2013 23:02
100,100,c:121,6/2/2008,series-a,a,1000000,1000000,USD,0,0,,0,0,,4,1,1,http://www.techcrunch.com/2008/06/02/wakoopa-secures-1-million-for-app-monitoring-social-network/,Wakoopa Secures $1 Million for App-Monitoring Social Network,initial-importer,2/5/2008 22:44,6/6/2008 19:03
101,101,c:122,11/1/2006,angel,angel,287033,225000,EUR,0,0,USD,0,0,USD,0,1,1,,,initial-importer,2/5/2008 22:44,10/16/2008 17:05
